,week_ending,prime_item_nbr,pos_qty,pos_sales,aur_price,traited_pods,valid_pods,OOS_pods,OOS_pct_pods,hist_on_hand_qty,net_ship_qty,flagged_active_pod,pos_qty_per_pod,pos_sales_per_pod,mf_training_data
36,2021-01-01,8270517,1.0,11.16,11.16000000000000000000,0,0,0,0E-18,,,1,1.000000000000000000,11.16000000000000000000,0
37,2020-12-25,565670388,25.0,551.43,22.05720000000000000000,0,0,4,0.266666666666666667,50.00,,15,1.666666666666666667,36.76200000000000000000,0
38,2020-12-25,585411081,17.0,209.08,12.29882352941176470588,190,190,1,0.005208333333333333,2156.00,12.00,192,0.088541666666666667,1.08895833333333333333,1
39,2020-05-15,8297901,1.0,9.47,9.47000000000000000000,0,0,0,0E-18,,,1,1.000000000000000000,9.47000000000000000000,0
40,2021-10-01,565670388,3.0,48.00,16.00000000000000000000,0,0,3,1.000000000000000000,0.00,,3,1.000000000000000000,16.00000000000000000000,0
41,2022-02-18,596485613,,,,15,15,15,1.000000000000000000,0.00,,15,,,0
42,2021-07-02,573590006,10.0,123.53,12.35300000000000000000,0,0,3,0.375000000000000000,9.00,,8,1.250000000000000000,15.44125000000000000000,0
43,2021-12-10,596431902,17.0,122.92,7.23058823529411764706,0,0,1,0.071428571428571429,66.00,,14,1.214285714285714286,8.78000000000000000000,0
44,2021-11-12,8253080,1.0,19.88,19.88000000000000000000,0,0,1,1.000000000000000000,-7.00,,1,1.000000000000000000,19.88000000000000000000,0
45,2021-05-28,597353781,702.0,19524.96,27.81333333333333333333,1547,1514,76,0.043678160919540230,13132.00,413.00,1740,0.403448275862068966,11.22124137931034482759,1
46,2022-04-01,8292378,2.0,39.76,19.88000000000000000000,0,0,1,0.500000000000000000,1.00,,2,1.000000000000000000,19.88000000000000000000,0
47,2022-02-25,8297901,2.0,5.00,2.50000000000000000000,0,0,0,0E-18,,,2,1.000000000000000000,2.50000000000000000000,0
48,2022-03-25,598498120,75.0,1431.72,19.08960000000000000000,2755,2755,872,0.316400580551523948,11268.00,7920.00,2756,0.027213352685050798,0.51949201741654571843,1
49,2022-01-14,596337010,6.0,82.64,13.77333333333333333333,0,0,1,0.166666666666666667,29.00,,6,1.000000000000000000,13.77333333333333333333,0
50,2020-10-23,580028487,3618.0,21297.77,5.88661415146489773355,3732,3692,20,0.005359056806002144,51082.00,25296.00,3732,0.969453376205787781,5.70679796355841371919,1
51,2022-01-28,580028487,5410.0,31669.68,5.85391497227356746765,3701,3627,24,0.006472491909385113,70505.00,7776.00,3708,1.459007551240560949,8.54090614886731391586,1
52,2022-04-08,587022978,601.0,9767.00,16.25124792013311148087,3029,2971,171,0.056065573770491803,25533.00,595.00,3050,0.197049180327868852,3.20229508196721311475,1
53,2021-10-15,597246380,8.0,78.40,9.80000000000000000000,0,0,1,0.142857142857142857,16.00,16.00,7,1.142857142857142857,11.20000000000000000000,0
54,2021-06-25,591649642,78.0,982.78,12.59974358974358974359,0,0,3,0.058823529411764706,209.00,12.00,51,1.529411764705882353,19.27019607843137254902,1
55,2021-06-25,591649649,91.0,1290.80,14.18461538461538461538,0,0,5,0.070422535211267606,119.00,6.00,71,1.281690140845070423,18.18028169014084507042,1
56,2020-12-04,578145557,304.0,2180.59,7.17299342105263157895,0,0,24,0.173913043478260870,695.00,,138,2.202898550724637681,15.80137681159420289855,1
57,2022-04-01,591649642,64.0,491.72,7.68312500000000000000,0,0,2,0.046511627906976744,209.00,,43,1.488372093023255814,11.43534883720930232558,0
58,2021-07-16,565670388,2.0,54.88,27.44000000000000000000,0,0,1,0.500000000000000000,1.00,,2,1.000000000000000000,27.44000000000000000000,0
59,2020-06-26,566844232,32.0,466.35,14.57343750000000000000,0,0,18,0.750000000000000000,-4.00,,24,1.333333333333333333,19.43125000000000000000,0
60,2021-12-03,596485613,,,,15,15,14,0.933333333333333333,1.00,,15,,,0
61,2021-09-24,596431902,23.0,181.32,7.88347826086956521739,0,0,2,0.117647058823529412,106.00,,17,1.352941176470588235,10.66588235294117647059,0
62,2020-06-12,553205467,1.0,0.50,0.50000000000000000000,0,0,0,0E-18,,,1,1.000000000000000000,0.50000000000000000000,0
63,2021-10-08,596253479,61.0,1183.04,19.39409836065573770492,794,792,405,0.510075566750629723,3059.00,1995.00,794,0.076826196473551637,1.48997481108312342569,1
